time idA idB label
0 3 0 1
75 34 3 0
163 26 3 1
206 2 3 0
233 47 3 1
257 13 3 0
288 1 3 1
299 29 3 0
337 42 3 0
360 23 3 0
396 7 3 0
411 5 3 0
746 10 3 3
759 39 3 0
840 36 3 0
875 45 3 0
921 36 3 0
1047 17 3 0
1049 25 3 1
1067 31 3 1
1094 22 3 0
1668 49 3 0
1779 19 3 0
2025 41 3 0
2480 40 3 0
2900 38 3 0
2916 38 3 0
3042 16 3 0
3889 51 3 0
7152 11 3 0
7178 9 3 2
7481 6 3 0
8053 35 3 0
8264 24 3 0
8356 20 3 0
9189 32 3 0
10626 28 3 0
11365 43 3 1
13152 8 3 1
13663 52 3 0
13736 48 3 0
14437 15 3 0
14878 27 3 0
17038 30 3 1
17152 14 3 0
18276 53 3 3
18517 50 3 0
20007 37 3 0
14595 4 2 0
363 7 47 0
8396 46 47 0
401 13 13 0
8013 33 13 0
8777 44 13 0
13588 52 1 0
526 7 29 0
3715 18 29 0
3818 12 29 0
3863 12 12 0
1449 21 36 0
13705 52 36 0
14211 36 52 0
14632 52 52 0
