time idA idB label
0 3 0 2
80 19 3 0
84 45 3 0
103 43 3 0
113 11 3 0
142 23 3 0
151 18 3 0
191 36 3 0
235 22 3 2
279 33 3 3
294 5 3 0
310 20 3 0
354 8 3 3
397 26 3 1
420 37 3 3
488 1 3 1
510 31 3 0
664 25 3 0
672 30 3 0
776 41 3 3
813 2 3 0
937 27 3 0
952 16 3 2
987 13 3 0
1040 17 3 3
1046 39 3 0
1098 39 3 0
1127 15 3 0
1130 14 3 1
1147 14 3 0
1329 38 3 3
1330 42 3 2
1364 10 3 0
1388 9 3 3
1488 21 3 2
1530 46 3 1
1592 29 3 3
2071 7 3 0
2110 48 3 3
2354 48 3 0
2472 35 3 0
2480 35 3 0
2507 35 3 0
2622 10 3 0
2945 24 3 0
3081 47 3 3
4155 4 3 1
4317 28 3 1
4582 6 3 1
6425 32 3 3
5719 44 11 0
1170 39 22 0
1538 22 39 0
2777 39 22 0
2882 22 22 0
3202 39 22 0
3812 22 39 0
5560 44 5 0
711 25 25 0
1685 40 30 0
5513 44 27 2
2372 34 39 0
2680 39 34 0
4686 6 24 0
4929 24 6 0
4722 12 6 2
