time idA idB label
0 7 0 1
30143 5 7 0
30165 85 7 0
30728 65 7 0
30798 55 7 0
30835 4 7 3
30980 21 7 0
31639 43 7 0
31857 51 7 0
31988 52 7 0
32048 57 7 2
32049 68 7 0
32191 88 7 2
32203 91 7 1
32494 38 7 2
32591 22 7 3
32877 69 7 0
33256 18 7 0
33487 16 7 0
33563 100 7 0
34133 114 7 2
34329 106 7 0
34588 27 7 0
35016 48 7 0
35274 25 7 0
35491 9 7 2
35606 23 7 0
35828 42 7 0
36426 112 7 2
36886 82 7 2
37173 34 7 0
37367 31 7 0
37611 71 7 0
37632 93 7 0
37637 77 7 0
38298 105 7 2
38683 103 7 0
38875 17 7 0
39025 58 7 0
39325 73 7 0
39571 37 7 2
39644 40 7 0
39679 75 7 0
40126 66 7 0
40323 99 7 3
40396 80 7 0
40547 3 7 0
41591 63 7 0
41602 63 7 2
41968 33 7 2
41999 94 7 0
42089 76 7 0
42161 11 7 0
42328 109 7 0
42433 41 7 2
42528 102 7 2
42570 19 7 2
43172 113 7 0
43494 92 7 2
43535 10 7 0
44461 86 7 3
44607 95 7 0
44843 83 7 0
45082 67 7 0
45270 104 7 2
46404 26 7 0
46545 13 7 3
46638 1 7 2
47678 50 7 0
48268 12 7 0
48309 89 7 0
48639 111 7 0
48666 108 7 2
49441 101 7 0
49500 107 7 2
49630 54 7 1
49741 87 7 0
50135 96 7 0
51574 70 7 0
52006 49 7 0
52894 74 7 0
53960 39 7 0
54295 98 7 0
55055 30 7 3
56414 2 7 3
56630 84 7 0
57234 79 7 0
58848 64 7 0
59267 62 7 2
59830 44 7 0
62383 28 7 2
62436 45 7 0
62886 32 7 0
63168 59 7 0
64769 53 7 2
65386 47 7 0
66247 72 7 2
67535 6 7 2
68061 36 7 0
68114 78 7 0
70552 110 7 0
71167 110 7 0
71619 29 7 0
71826 90 7 2
72538 61 7 2
74977 97 7 2
76102 56 7 0
76458 35 7 3
77002 81 7 0
84853 8 7 1
88107 46 7 0
97567 60 7 0
30560 15 5 0
30931 5 15 0
31066 15 5 0
31203 5 15 0
32038 15 5 0
31673 24 43 0
31965 14 43 0
32534 24 14 0
32848 43 24 0
32914 24 43 0
32946 24 24 0
32060 20 52 0
88130 46 46 0
