 time idA idB label
0 0 3 0 1
1 75 38 3 0
2 163 29 3 1
3 206 2 3 0
4 233 58 3 1
5 257 14 3 0
6 288 1 3 1
7 299 32 3 0
8 337 50 3 0
9 360 26 3 0
10 396 7 3 0
11 411 5 3 0
12 746 11 3 3
13 759 44 3 0
14 840 41 3 0
15 875 56 3 0
16 921 41 3 0
17 1047 18 3 0
18 1049 28 3 1
19 1067 34 3 1
20 1094 25 3 0
21 1668 60 3 0
22 1779 20 3 0
23 2025 48 3 0
24 2480 47 3 0
25 2900 43 3 0
26 2916 43 3 0
27 3042 17 3 0
28 3889 62 3 0
29 7152 12 3 0
30 7178 9 3 2
31 7481 6 3 0
32 8053 39 3 0
33 8264 27 3 0
34 8356 22 3 0
35 9189 35 3 0
36 10626 31 3 0
37 11365 51 3 1
38 13152 8 3 1
39 13663 63 3 0
40 13736 59 3 0
41 14437 16 3 0
42 14878 30 3 0
43 17038 33 3 1
44 17152 15 3 0
45 18276 64 3 3
46 18517 61 3 0
47 20007 42 3 0
48 20134 40 3 1
49 22310 46 3 0
50 22368 10 3 0
51 23559 54 3 0
52 25065 21 3 0
53 25658 24 3 2
54 26232 49 3 0
55 30054 55 3 2
56 35207 53 3 0
57 37012 37 3 1
58 41802 45 3 1
59 14595 4 2 0
60 363 7 58 0
61 8396 57 58 0
62 401 14 14 0
63 8013 36 14 0
64 8777 52 14 0
65 13588 63 1 0
66 20445 63 63 0
67 526 7 32 0
68 3715 19 32 0
69 3818 13 32 0
70 3863 13 13 0
71 1449 23 41 0
72 13705 63 41 0
73 14211 41 63 0
74 14632 63 63 0
