time idA idB label
0 3 0 1
75 35 3 0
163 27 3 1
206 2 3 0
233 50 3 1
257 14 3 0
288 1 3 1
299 30 3 0
337 45 3 0
360 24 3 0
396 7 3 0
411 5 3 0
746 11 3 3
759 41 3 0
840 38 3 0
875 48 3 0
921 38 3 0
1047 18 3 0
1049 26 3 1
1067 32 3 1
1094 23 3 0
1668 52 3 0
1779 20 3 0
2025 44 3 0
2480 43 3 0
2900 40 3 0
2916 40 3 0
3042 17 3 0
3889 54 3 0
7152 12 3 0
7178 9 3 2
7481 6 3 0
8053 36 3 0
8264 25 3 0
8356 21 3 0
9189 33 3 0
10626 29 3 0
11365 46 3 1
13152 8 3 1
13663 55 3 0
13736 51 3 0
14437 16 3 0
14878 28 3 0
17038 31 3 1
17152 15 3 0
18276 56 3 3
18517 53 3 0
20007 39 3 0
20134 37 3 1
22310 42 3 0
22368 10 3 0
14595 4 2 0
363 7 50 0
8396 49 50 0
401 14 14 0
8013 34 14 0
8777 47 14 0
13588 55 1 0
20445 55 55 0
526 7 30 0
3715 19 30 0
3818 13 30 0
3863 13 13 0
1449 22 38 0
13705 55 38 0
14211 38 55 0
14632 55 55 0
